Name,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admitted
Chaim Peters,327,112,3,3,3,8.72,1,0
Dalton Schmidt,301,99,2,3,2,8.22,0,0
Aniyah Patel,296,95,2,3,2,7.54,1,0
Jaylene Washington,294,93,1,1.5,2,7.36,0,0
Jerome Holmes,312,105,3,2,3,8.02,1,0
Zion Dickson,340,120,4,5,5,9.5,1,1
Randall Leon,320,110,5,5,4.5,9.22,1,1
Sheldon Schmitt,322,115,5,4,4.5,9.36,1,1
Nyla Banks,340,115,5,4.5,4.5,9.45,1,1
Maya Zamora,319,103,4,4.5,3.5,8.66,0,0
Angela Gallegos,315,106,3,4.5,3.5,8.42,0,0
Katelyn Bond,317,107,2,3.5,3,8.28,0,0
Danna Obrien,314,108,3,4.5,3.5,8.14,0,0
Antoine Sanford,316,109,4,4.5,3.5,8.76,1,0
Laurel Ramirez,318,106,2,4,4,7.92,1,0
Nelson Kent,299,97,3,5,3.5,7.66,0,0
Zaid Johnston,298,98,2,4,3,8.03,0,0
Alicia Howell,301,97,2,3,3,7.88,1,0
Chloe Frank,303,99,3,2,2.5,7.66,0,0
Elvis Dunn,304,100,4,1.5,2.5,7.84,0,0
Paola Marquez,306,100,2,3,3,8,0,0
Nora Roy,331,120,3,4,4,8.96,1,0
Maddox Brown,332,119,4,5,4.5,9.24,1,0
Julien Ball,323,113,3,4,4,8.88,1,0
Adan Farmer,322,107,3,3.5,3.5,8.46,1,0
Hassan Clay,312,105,2,2.5,3,8.12,0,0
Brenda Waters,314,106,2,4,3.5,8.25,0,0
Dereon Dunlap,317,104,2,4.5,4,8.47,0,0
Yasmin Walker,326,112,3,3.5,3,9.05,1,0
Jax Pruitt,316,110,3,4,4.5,8.78,1,0
Angelina Greer,329,111,4,4.5,4.5,9.18,1,0
Paloma Key,338,117,4,3.5,4.5,9.46,1,1
Shaun Leblanc,331,116,5,5,5,9.38,1,1
Amaya Huang,304,103,5,5,4,8.64,0,0
Carsen Yu,305,108,5,3,3,8.48,0,0
Braylon Rowland,321,109,4,4,4,8.68,1,0
Raven Pacheco,301,107,3,3.5,3.5,8.34,1,0
Myah Cabrera,320,110,2,4,3.5,8.56,0,0
Haiden Tanner,311,105,3,3.5,3,8.45,1,0
Colton Lee,310,106,4,4.5,4.5,9.04,1,0
Kenny Carter,299,102,3,4,3.5,8.62,0,0
Eddie Ramirez,290,104,4,2,2.5,7.46,0,0
Calvin Koch,296,99,2,3,3.5,7.28,0,0
Joy Soto,327,104,5,3,3.5,8.84,1,0
Ulises Rowe,335,117,5,5,5,9.56,1,1
Ximena Burke,334,119,5,4.5,4.5,9.48,1,1
Kamryn Andrade,310,106,4,1.5,2.5,8.36,0,0
Amaya Davila,308,108,3,3.5,3.5,8.22,0,0
Mason Alvarado,301,106,4,2.5,3,8.47,0,0
Dixie Jefferson,300,100,3,2,3,8.66,1,0
Yuliana Hebert,323,113,3,4,3,9.32,1,0
Deon Saunders,319,112,3,2.5,2,8.71,1,0
Emilee Ramos,326,112,3,3.5,3,9.1,1,0
Jaidyn Jacobson,333,118,5,5,5,9.35,1,1
Kayla Frank,339,114,5,4,4.5,9.76,1,1
Cruz Ruiz,303,105,5,5,4.5,8.65,0,0
Memphis Jenkins,309,105,5,3.5,3.5,8.56,0,0
Chris Acevedo,323,112,5,4,4.5,8.78,0,0
Charlotte Graves,333,113,5,4,4,9.28,1,0
Yasmin Perry,314,109,4,3.5,4,8.77,1,0
Lewis Mann,312,103,3,5,4,8.45,0,0
Sarah Perry,316,100,2,1.5,3,8.16,1,0
Kaleb Schaefer,326,116,2,4.5,3,9.08,1,0
Monica Doyle,318,109,1,3.5,3.5,9.12,0,0
Kareem Owen,329,110,2,4,3,9.15,1,0
Magdalena Welch,332,118,2,4.5,3.5,9.36,1,0
Eric Mcintyre,331,115,5,4,3.5,9.44,1,1
Jacquelyn Floyd,340,120,4,4.5,4,9.92,1,1
Zack Odonnell,325,112,2,3,3.5,8.96,1,0
Cristina Marsh,320,113,2,2,2.5,8.64,1,0
Chasity Fitzpatrick,315,105,3,2,2.5,8.48,0,0
Tomas Summers,326,114,3,3,3,9.11,1,0
Tatiana Hodge,339,116,4,4,3.5,9.8,1,1
Makenna Peterson,311,106,2,3.5,3,8.26,1,0
Danica Lara,334,114,4,4,4,9.43,1,1
Tess Beard,332,116,5,5,5,9.28,1,1
Bernard Whitaker,321,112,5,5,5,9.06,1,0
Lisa Gill,324,105,3,3,4,8.75,0,0
Amari Frederick,326,108,3,3,3.5,8.89,0,0
Diamond Gutierrez,312,109,3,3,3,8.69,0,0
Emely Griffith,315,105,3,2,2.5,8.34,0,0
Erick Mercado,309,104,2,2,2.5,8.26,0,0
August Warner,306,106,2,2,2.5,8.14,0,0
Kennedi Clay,297,100,1,1.5,2,7.9,0,0
Aspen Orozco,315,103,1,1.5,2,7.86,0,0
Charlie Dawson,298,99,1,1.5,3,7.46,0,0
Braylen Patterson,318,109,3,3,3,8.5,0,0
Keaton Ferguson,317,105,3,3.5,3,8.56,0,0
Ezra Frazier,329,111,4,4.5,4,9.01,1,0
Anabella Hull,322,110,5,4.5,4,8.97,0,0
Gilbert Lynch,302,102,3,3.5,5,8.33,0,0
Jakob Acevedo,313,102,3,2,3,8.27,0,0
Alyssa Bradshaw,293,97,2,2,4,7.8,1,0
Mariam Conrad,311,99,2,2.5,3,7.98,0,0
Sydnee Hernandez,312,101,2,2.5,3.5,8.04,1,0
Ryleigh Merritt,334,117,5,4,4.5,9.07,1,0
Skylar Holloway,322,110,4,4,5,9.13,1,0
Dexter Barron,323,113,4,4,4.5,9.23,1,0
Judah Shields,321,111,4,4,4,8.97,1,0
Ronnie Stokes,320,111,4,4.5,3.5,8.87,1,0
Aron Padilla,329,119,4,4.5,4.5,9.16,1,0
Paxton Hanna,319,110,3,3.5,3.5,9.04,0,0
Jordyn Knight,309,108,3,2.5,3,8.12,0,0
Marcelo Houston,307,102,3,3,3,8.27,0,0
Elianna Galvan,300,104,3,3.5,3,8.16,0,0
Muhammad Boyer,305,107,2,2.5,2.5,8.42,0,0
Athena Bowman,299,100,2,3,3.5,7.88,0,0
Garrett Diaz,314,110,3,4,4,8.8,0,0
Jayvion Riley,316,106,2,2.5,4,8.32,0,0
Simon Cherry,327,113,4,4.5,4.5,9.11,1,0
Nancy Ingram,317,107,3,3.5,3,8.68,1,0
Blaine Shelton,335,118,5,4.5,3.5,9.44,1,1
Izabelle Merritt,331,115,5,4.5,3.5,9.36,1,1
Jerimiah Mccann,324,112,5,5,5,9.08,1,0
Davis Cannon,324,111,5,4.5,4,9.16,1,0
Alec Atkinson,323,110,5,4,5,8.98,1,0
Edgar Mercado,322,114,5,4.5,4,8.94,1,0
Calvin Clark,336,118,5,4.5,5,9.53,1,1
Leslie Kirby,316,109,3,3.5,3,8.76,0,0
Carlie Mcgee,307,107,2,3,3.5,8.52,1,0
Allisson Sweeney,306,105,2,3,2.5,8.26,0,0
Gerardo Kline,310,106,2,3.5,2.5,8.33,0,0
Allie Cabrera,311,104,3,4.5,4.5,8.43,0,0
Chana Hinton,313,107,3,4,4.5,8.69,0,0
Franklin Shea,317,103,3,2.5,3,8.54,1,0
Rylee Stone,315,110,2,3.5,3,8.46,1,0
Frances Salas,340,120,5,4.5,4.5,9.91,1,1
Melissa Clay,334,120,5,4,5,9.87,1,1
Rashad Osborn,298,105,3,3.5,4,8.54,0,0
Judah Mcintosh,295,99,2,2.5,3,7.65,0,0
Ethen Moreno,315,99,2,3.5,3,7.89,0,0
Simon Pineda,310,102,3,3.5,4,8.02,1,0
Regina Strong,305,106,2,3,3,8.16,0,0
Iyana Ho,301,104,3,3.5,4,8.12,1,0
Geovanni Hatfield,325,108,4,4.5,4,9.06,1,0
Juliet Garza,328,110,4,5,4,9.14,1,0
Milo Alvarez,338,120,4,5,5,9.66,1,1
Sabrina Lopez,333,119,5,5,4.5,9.78,1,1
Raymond Walters,331,117,4,4.5,5,9.42,1,1
Madden Marsh,330,116,5,5,4.5,9.36,1,1
Sonia Faulkner,322,112,4,4.5,4.5,9.26,1,1
Annalise English,321,109,4,4,4,9.13,1,0
Simeon Herman,324,110,4,3,3.5,8.97,1,0
Madalynn Robertson,312,104,3,3.5,3.5,8.42,0,0
Jay Galvan,313,103,3,4,4,8.75,0,0
Jade Boyd,316,110,3,3.5,4,8.56,0,0
Libby Osborn,324,113,4,4.5,4,8.79,0,0
Lamar Gordon,308,109,2,3,4,8.45,0,0
Charity Schmitt,305,105,2,3,2,8.23,0,0
Isabella Sexton,296,99,2,2.5,2.5,8.03,0,0
Carissa Collins,306,110,2,3.5,4,8.45,0,0
Felix Pham,312,110,2,3.5,3,8.53,0,0
Saul Bradley,318,112,3,4,3.5,8.67,0,0
Cristina Hull,324,111,4,3,3,9.01,1,0
Zaiden Weeks,313,104,3,4,4.5,8.65,0,0
Xiomara Cisneros,319,106,3,3.5,2.5,8.33,1,0
Giana Choi,312,107,2,2.5,3.5,8.27,0,0
Amelia Harrison,304,100,2,2.5,3.5,8.07,0,0
Joslyn Palmer,330,113,5,5,4,9.31,1,1
Alessandra Calhoun,326,111,5,4.5,4,9.23,1,0
Alani Dodson,325,112,4,4,4.5,9.17,1,0
Lorena Hoffman,329,114,5,4.5,5,9.19,1,0
Kenzie Hogan,310,104,3,2,3.5,8.37,0,0
Jayvion Wagner,299,100,1,1.5,2,7.89,0,0
Joel Walsh,296,101,1,2.5,3,7.68,0,0
Isai Wilcox,317,103,2,2.5,2,8.15,0,0
Briana Trujillo,324,115,3,3.5,3,8.76,1,0
Konner Gomez,325,114,3,3.5,3,9.04,1,0
Akira Pineda,314,107,2,2.5,4,8.56,0,0
Janet Tanner,328,110,4,4,2.5,9.02,1,0
Connor Allison,316,105,3,3,3.5,8.73,0,0
Shiloh Campos,311,104,2,2.5,3.5,8.48,0,0
Meadow Ibarra,324,110,3,3.5,4,8.87,1,0
Kaylynn Nelson,321,111,3,3.5,4,8.83,1,0
Carina Blanchard,320,104,3,3,2.5,8.57,1,0
Malcolm Mcpherson,316,99,2,2.5,3,9,0,0
Todd Mercado,318,100,2,2.5,3.5,8.54,1,0
Aliya Walters,335,115,4,4.5,4.5,9.68,1,1
Crystal Stark,321,114,4,4,5,9.12,0,0
Luis Mcdonald,307,110,4,4,4.5,8.37,0,0
Kaitlyn Bond,309,99,3,4,4,8.56,0,0
Tyson Daniels,324,100,3,4,5,8.64,1,0
Kelton Cabrera,326,102,4,5,5,8.76,1,0
Darren Evans,331,119,4,5,4.5,9.34,1,0
Marlee Roth,327,108,5,5,3.5,9.13,1,0
Maverick Bailey,312,104,3,3.5,4,8.09,0,0
Jay Chandler,308,103,2,2.5,4,8.36,1,0
Antoine Macias,324,111,3,2.5,1.5,8.79,1,0
Alyssa Avila,325,110,2,3,2.5,8.76,1,0
Malaki Smith,313,102,3,2.5,2.5,8.68,0,0
Izabella Cox,312,105,2,2,2.5,8.45,0,0
Yurem Lopez,314,107,3,3,3.5,8.17,1,0
Hana Maynard,327,113,4,4.5,5,9.14,0,0
Ryan Ho,308,108,4,4.5,5,8.34,0,0
Dillan Quinn,306,105,2,2.5,3,8.22,1,0
Asia Craig,299,96,2,1.5,2,7.86,0,0
Sullivan Graves,294,95,1,1.5,1.5,7.64,0,0
Esperanza Golden,312,99,1,1,1.5,8.01,1,0
Savion Morrow,315,100,1,2,2.5,7.95,0,0
Vincent Kramer,322,110,3,3.5,3,8.96,1,0
Trystan Cruz,329,113,5,5,4.5,9.45,1,0
Madyson Blevins,320,101,2,2.5,3,8.62,0,0
Patricia Ramirez,308,103,2,3,3.5,8.49,0,0
Myles Ray,304,102,2,3,4,8.73,0,0
Madeline Montgomery,311,102,3,4.5,4,8.64,1,0
Thaddeus Mccarty,317,110,3,4,4.5,9.11,1,0
Graham Fuentes,312,106,3,4,3.5,8.79,1,0
Rigoberto Randolph,321,111,3,2.5,3,8.9,1,0
Hanna Holland,340,112,4,5,4.5,9.66,1,1
Zackery Ruiz,331,116,5,4,4,9.26,1,1
Ishaan Spence,336,118,5,4.5,4,9.19,1,1
Spencer Knight,324,114,5,5,4.5,9.08,1,0
Holden Gregory,314,104,4,5,5,9.02,0,0
Mariyah Zamora,313,109,3,4,3.5,9,0,0
Phoebe Long,307,105,2,2.5,3,7.65,0,0
Keira Randall,300,102,2,1.5,2,7.87,0,0
Dorian Davies,302,99,2,1,2,7.97,0,0
Ralph Miller,312,98,1,3.5,3,8.18,1,0
Genevieve Cooke,316,101,2,2.5,2,8.32,1,0
Nasir Chavez,317,100,2,3,2.5,8.57,0,0
Philip Archer,310,107,3,3.5,3.5,8.67,0,0
Kendall Petty,320,120,3,4,4.5,9.11,0,0
Alena Keller,330,114,3,4.5,4.5,9.24,1,0
Lyric Gomez,305,112,3,3,3.5,8.65,0,0
Jennifer Duarte,309,106,2,2.5,2.5,8,0,0
Kaylen Shea,319,108,2,2.5,3,8.76,0,0
Skyler Walls,322,105,2,3,3,8.45,1,0
Helena Oneill,323,107,3,3.5,3.5,8.55,1,0
Claire Drake,313,106,2,2.5,2,8.43,0,0
Genevieve Mcclain,321,109,3,3.5,3.5,8.8,1,0
Isabella Ramos,323,110,3,4,3.5,9.1,1,0
Valerie Blair,325,112,4,4,4,9,1,0
Aidyn Higgins,312,108,3,3.5,3,8.53,0,0
Arabella Barry,308,110,4,3.5,3,8.6,0,0
Elliott Parker,320,104,3,3,3.5,8.74,1,0
Jack Richmond,328,108,4,4.5,4,9.18,1,0
Harper Weber,311,107,4,4.5,4.5,9,1,0
Stacy Molina,301,100,3,3.5,3,8.04,0,0
Krystal Whitney,305,105,2,3,4,8.13,0,0
Mara Schneider,308,104,2,2.5,3,8.07,0,0
Eleanor Conley,298,101,2,1.5,2,7.86,0,0
Aliyah Banks,300,99,1,1,2.5,8.01,0,0
Cheyenne Maxwell,324,111,3,2.5,2,8.8,1,0
Freddy Johnson,327,113,4,3.5,3,8.69,1,0
Alejandra Mcneil,317,106,3,4,3.5,8.5,1,0
Allie Ali,323,104,3,4,4,8.44,1,0
Keaton Morgan,314,107,2,2.5,4,8.27,0,0
Ava Rich,305,102,2,2,2.5,8.18,0,0
Ezekiel Meyers,315,104,3,3,2.5,8.33,0,0
Gustavo Stout,326,116,3,3.5,4,9.14,1,0
Priscilla Hines,299,100,3,2,2,8.02,0,0
Esteban Khan,295,101,2,2.5,2,7.86,0,0
Brylee Hart,324,112,4,4,3.5,8.77,1,0
Pablo Castro,297,96,2,2.5,1.5,7.89,0,0
Jeremiah Vaughn,327,113,3,3.5,3,8.66,1,0
Nathanael Knight,311,105,2,3,2,8.12,1,0
Maxim Patel,308,106,3,3.5,2.5,8.21,1,0
Rowan Cooley,319,108,3,3,3.5,8.54,1,0
Jase Hood,312,107,4,4.5,4,8.65,1,0
Bruno Ware,325,111,4,4,4.5,9.11,1,0
Mikaela Richmond,319,110,3,3,2.5,8.79,0,0
Johan Ford,332,118,5,5,5,9.47,1,1
Jadyn Holt,323,108,5,4,4,8.74,1,0
Adrien Phelps,324,107,5,3.5,4,8.66,1,0
Callum Christian,312,107,3,3,3,8.46,1,0
Jaeden Clayton,326,110,3,3.5,3.5,8.76,1,0
Isabella Quinn,308,106,3,3,3,8.24,0,0
Sofia Hess,305,103,2,2.5,3.5,8.13,0,0
Drew Farrell,295,96,2,1.5,2,7.34,0,0
Danielle Hamilton,316,98,1,1.5,2,7.43,0,0
Taryn Odonnell,304,97,2,1.5,2,7.64,0,0
Alessandro Levine,299,94,1,1,1,7.34,0,0
Asher Kent,302,99,1,2,2,7.25,0,0
Brycen Ballard,313,101,3,2.5,3,8.04,0,0
Tripp Boyer,318,107,3,3,3.5,8.27,1,0
Karina Pineda,325,110,4,3.5,4,8.67,1,0
Gavyn Sawyer,303,100,2,3,3.5,8.06,1,0
Jaylene Hayes,300,102,3,3.5,2.5,8.17,0,0
Annabel Shannon,297,98,2,2.5,3,7.67,0,0
Malachi Walton,317,106,2,2,3.5,8.12,0,0
Hana Hartman,327,109,3,3.5,4,8.77,1,0
Edwin Carpenter,301,104,2,3.5,3.5,7.89,1,0
Alfonso Melendez,314,105,2,2.5,2,7.64,0,0
Branden Arnold,321,107,2,2,1.5,8.44,0,0
Philip Dyer,322,110,3,4,5,8.64,1,0
Tanner Sharp,334,116,4,4,3.5,9.54,1,1
Reid Leblanc,338,115,5,4.5,5,9.23,1,1
Marisol Moody,306,103,2,2.5,3,8.36,0,0
Delilah Ferguson,313,102,3,3.5,4,8.9,1,0
Corbin Thomas,330,114,4,4.5,3,9.17,1,0
Case Luna,320,104,3,3.5,4.5,8.34,1,0
Erica Leach,311,98,1,1,2.5,7.46,0,0
Joyce Brooks,298,92,1,2,2,7.88,0,0
Leslie Brown,301,98,1,2,3,8.03,1,0
Carley Pineda,310,103,2,2.5,2.5,8.24,0,0
Eli Farley,324,110,3,3.5,3,9.22,1,0
Jon Kirby,336,119,4,4.5,4,9.62,1,1
Levi Reeves,321,109,3,3,3,8.54,1,0
Anderson Howard,315,105,2,2,2.5,7.65,0,0
Carolina David,304,101,2,2,2.5,7.66,0,0
Julie Parks,297,96,2,2.5,2,7.43,0,0
Jadiel Ellison,290,100,1,1.5,2,7.56,0,0
Jared Church,303,98,1,2,2.5,7.65,0,0
Hanna Powell,311,99,1,2.5,3,8.43,1,0
Danielle Bruce,322,104,3,3.5,4,8.84,1,0
Karter Whitney,319,105,3,3,3.5,8.67,1,0
Keegan Mckenzie,324,110,4,4.5,4,9.15,1,0
Gilbert Rich,300,100,3,3,3.5,8.26,0,0
Soren Stuart,340,113,4,5,5,9.74,1,1
Francisco Logan,335,117,5,5,5,9.82,1,1
Cole Cameron,302,101,2,2.5,3.5,7.96,0,0
Cassidy Gregory,307,105,2,2,3.5,8.1,0,0
Jaydon Combs,296,97,2,1.5,2,7.8,0,0
Isabel Richmond,320,108,3,3.5,4,8.44,1,0
Kieran Cooley,314,102,2,2,2.5,8.24,0,0
Lilia Shea,318,106,3,2,3,8.65,0,0
Maurice Trevino,326,112,4,4,3.5,9.12,1,0
Zavier Dominguez,317,104,2,3,3,8.76,0,0
Rene Macias,329,111,4,4.5,4,9.23,1,0
Ayanna Parker,324,110,3,3.5,3.5,9.04,1,0
Krista Jefferson,325,107,3,3,3.5,9.11,1,0
Mason Mullen,330,116,4,5,4.5,9.45,1,1
Aleah Taylor,312,103,3,3.5,4,8.78,0,0
Ray Mercer,333,117,4,5,4,9.66,1,1
Julius Clayton,304,100,2,3.5,3,8.22,0,0
Alexa Khan,315,105,2,3,3,8.34,0,0
Dominique Sanders,324,109,3,3.5,3,8.94,1,0
Tabitha Ramos,330,116,4,4,3.5,9.23,1,1
Hailey Hansen,311,101,3,2,2.5,7.64,1,0
Orion Golden,302,99,3,2.5,3,7.45,0,0
Presley Bailey,322,103,4,3,2.5,8.02,1,0
Elisabeth Jones,298,100,3,2.5,4,7.95,1,0
Brogan Lucas,297,101,3,2,4,7.67,1,0
Rory Patton,300,98,1,2,2.5,8.02,0,0
Rigoberto Chapman,301,96,1,3,4,7.56,0,0
Aliya Grant,313,94,2,2.5,1.5,8.13,0,0
Jocelyn Goodman,314,102,4,2.5,2,7.88,1,0
Shaylee Rosales,317,101,3,3,2,7.94,1,0
Princess Woodward,321,110,4,3.5,4,8.35,1,0
Marlee Watkins,327,106,4,4,4.5,8.75,1,0
Logan Logan,315,104,3,4,2.5,8.1,0,0
Uriel Wolfe,316,103,3,3.5,2,7.68,0,0
Josie Grimes,309,111,2,2.5,4,8.03,0,0
Donald Mckenzie,308,102,2,2,3.5,7.98,1,0
Axel Salazar,299,100,3,2,3,7.42,0,0
Taniyah Clements,321,112,3,3,4.5,8.95,1,0
Cheyenne Wyatt,322,112,4,3.5,2.5,9.02,1,0
Estrella Andrews,334,119,5,4.5,5,9.54,1,1
Kamila Newman,325,114,5,4,5,9.46,1,1
Franco Cooke,323,111,5,4,5,9.86,1,1
Yandel Barajas,312,106,3,3,5,8.57,0,0
Lamar Stokes,310,101,3,3.5,5,8.65,1,0
Precious Sexton,316,103,2,2,4.5,8.74,0,0
Kaitlynn Malone,340,115,5,5,4.5,9.06,1,1
Harley Rowe,311,104,3,4,3.5,8.13,1,0
Malik Pitts,320,112,2,3.5,3.5,8.78,1,0
Jaelyn Chapman,324,112,4,4.5,4,9.22,1,0
Denzel Cherry,316,111,4,4,5,8.54,0,0
Hazel Shannon,306,103,3,3.5,3,8.21,0,0
Alfredo Woodward,309,105,2,2.5,4,7.68,0,0
Emely Hamilton,310,110,1,1.5,4,7.23,1,0
Lilah Woodard,317,106,1,1.5,3.5,7.65,1,0
Franklin Cardenas,318,110,1,2.5,3.5,8.54,1,0
Toby Hobbs,312,105,2,1.5,3,8.46,0,0
Hayden Gonzalez,305,104,2,2.5,1.5,7.79,0,0
Ian Rasmussen,332,112,1,1.5,3,8.66,1,0
Zachariah Marsh,331,116,4,4.5,4.5,9.44,1,1
Janelle Esparza,321,114,5,4.5,4.5,9.16,1,0
Savanah Horton,324,113,5,4,5,9.25,1,1
Leonidas Kerr,328,116,5,4.5,5,9.08,1,1
Margaret Yates,327,118,4,5,5,9.67,1,1
Draven Vasquez,320,108,3,3.5,5,8.97,1,0
Kaitlyn Morton,312,109,2,2.5,4,9.02,0,0
Christine Orr,315,101,3,3.5,4.5,9.13,0,0
Leyla Dickson,320,112,4,3,4.5,8.86,1,0
Jaxon Hood,324,113,4,4.5,4.5,9.25,1,0
Journey Ibarra,328,116,4,5,3.5,9.6,1,1
Kiara Mcmahon,319,103,3,2.5,4,8.76,1,0
Miya Riley,310,105,2,3,3.5,8.01,0,0
Chasity Ford,305,102,2,1.5,2.5,7.64,0,0
Amy Woodard,299,100,2,2,2,7.88,0,0
Dominic Chung,295,99,1,2,1.5,7.57,0,0
Beckham Blackburn,312,100,1,3,3,8.53,1,0
Steve Cochran,329,113,4,4,3.5,9.36,1,0
Kenyon Silva,319,105,4,4,4.5,8.66,1,0
Lillian Fowler,301,102,3,2.5,2,8.13,1,0
Marlene Davenport,307,105,4,3,3,7.94,0,0
Gabriel Rowland,304,107,3,3.5,3,7.86,0,0
Brenna Bennett,298,97,2,2,3,7.21,0,0
Ivan Preston,305,96,4,3,4.5,8.26,0,0
Jax George,314,99,4,3.5,4.5,8.73,1,0
Salvador Lam,318,101,5,3.5,5,8.78,1,0
Alvin Livingston,323,110,4,4,5,8.88,1,0
Orion Stokes,326,114,4,4,3.5,9.16,1,0
Amirah Floyd,320,110,5,4,4,9.27,1,0
Wendy Hendricks,311,103,3,2,4,8.09,0,0
Blaine Ponce,327,116,4,4,4.5,9.48,1,0
Gianna Norris,316,102,2,4,3.5,8.15,0,0
Zachariah Velez,308,105,4,3,2.5,7.95,1,0
Kaya Stewart,300,101,3,3.5,2.5,7.88,0,0
Kyla Waters,304,104,3,2.5,2,8.12,0,0
Andy Reid,309,105,4,3.5,2,8.18,0,0
Quintin Winters,318,103,3,4,4.5,8.49,1,0
Karli Howard,325,110,4,4.5,4,8.96,1,0
Valerie Bowen,321,102,3,3.5,4,9.01,1,0
Brenna Stokes,323,107,4,3,2.5,8.48,1,0
Eden Glover,328,113,4,4,2.5,8.77,1,0
Andreas Macdonald,304,103,5,5,3,7.92,0,0
Giovanny Rowe,317,106,3,3.5,3,7.89,1,0
Sharon Hurst,311,101,2,2.5,3.5,8.34,1,0
Paxton Lowe,319,102,3,2.5,2.5,8.37,0,0
Yoselin Arias,327,115,4,3.5,4,9.14,0,0
